-0.146,	0.029,	0.490,	Landscape Right
-0.038,	0.124,	0.187,	Landscape Right
-0.250,	-0.030,	-0.015,	Landscape Right
-0.283,	-0.006,	-0.176,	Flat
-0.286,	0.102,	0.023,	Flat
-0.374,	0.130,	0.268,	Flat
-0.415,	0.134,	0.545,	Flat
-0.530,	0.168,	0.968,	Flat
-0.467,	0.239,	1.415,	Flat
-0.434,	0.006,	1.795,	Flat
-0.347,	-0.099,	1.999,	Flat
-0.197,	-0.176,	1.999,	Flat
-0.021,	-0.527,	1.999,	Flat
0.364,	-0.796,	1.812,	Flat
0.726,	-0.652,	1.619,	Flat
0.827,	-0.359,	1.322,	Flat
0.804,	-0.118,	1.044,	Flat
0.701,	-0.002,	0.985,	Flat
0.509,	-0.064,	1.122,	Flat
0.437,	-0.116,	1.011,	Flat
0.308,	-0.024,	1.546,	Flat
0.124,	-0.117,	1.782,	Flat
-0.059,	-0.201,	1.714,	Flat
-0.057,	-0.099,	1.665,	Flat
-0.034,	-0.001,	1.535,	Flat
-0.119,	-0.056,	1.146,	Flat
-0.063,	-0.052,	0.765,	Flat
0.007,	0.099,	0.447,	Flat
-0.046,	0.078,	0.305,	Flat
-0.196,	0.107,	0.190,	Flat
-0.226,	0.038,	0.195,	Flat
-0.290,	-0.044,	0.186,	Flat
-0.256,	-0.055,	0.233,	Flat
-0.295,	-0.018,	0.301,	Flat
-0.312,	0.062,	0.369,	Flat
-0.339,	0.069,	0.675,	Flat
-0.365,	0.135,	0.993,	Flat
-0.312,	0.273,	1.489,	Flat
-0.303,	0.090,	1.999,	Flat
-0.312,	-0.213,	1.999,	Flat
-0.262,	-0.332,	1.999,	Flat
-0.048,	-0.325,	1.999,	Flat
0.594,	-0.211,	1.684,	Flat
0.616,	-0.336,	1.410,	Flat
0.907,	-0.111,	1.116,	Flat
0.938,	0.137,	1.193,	Flat
0.765,	0.092,	0.995,	Flat
0.532,	-0.171,	0.817,	Landscape Right
0.458,	0.000,	1.050,	Landscape Right
0.260,	0.043,	1.562,	Landscape Right
0.046,	-0.134,	1.845,	Landscape Right
-0.116,	-0.204,	1.929,	Landscape Right
-0.224,	-0.076,	1.655,	Landscape Right
-0.058,	0.247,	1.165,	Landscape Right
-0.108,	0.006,	0.503,	Landscape Right
-0.044,	0.214,	0.264,	Landscape Right
-0.111,	0.180,	0.050,	Landscape Right
-0.164,	0.004,	-0.049,	Flat
-0.087,	0.030,	-0.037,	Flat
-0.173,	0.069,	0.088,	Flat
-0.272,	0.148,	0.293,	Flat
-0.432,	0.206,	0.749,	Flat
-0.751,	0.251,	1.099,	Flat
-0.693,	0.177,	1.788,	Flat
-0.402,	0.035,	1.999,	Flat
-0.300,	-0.519,	1.999,	Flat
0.321,	-0.520,	1.999,	Flat
0.646,	-0.250,	1.999,	Flat
0.909,	-0.223,	1.635,	Flat
0.994,	-0.156,	1.066,	Flat
0.956,	-0.012,	0.696,	Flat
0.882,	0.278,	0.635,	Flat
0.729,	0.250,	0.730,	Landscape Right
0.532,	-0.026,	0.612,	Landscape Right
0.513,	0.104,	1.162,	Landscape Right
0.296,	-0.129,	1.847,	Landscape Right
0.039,	-0.136,	1.999,	Landscape Right
0.016,	-0.020,	1.999,	Landscape Right
-0.156,	-0.197,	0.988,	Landscape Right
0.013,	0.029,	0.571,	Landscape Right
0.015,	0.149,	0.643,	Landscape Right
-0.370,	0.001,	0.206,	Landscape Right
-0.304,	0.147,	0.004,	Flat
-0.249,	0.166,	-0.021,	Flat
-0.271,	0.060,	-0.023,	Flat
-0.333,	-0.025,	0.115,	Flat
-0.457,	0.008,	0.498,	Flat
-0.484,	0.175,	1.105,	Flat
-0.394,	0.394,	1.993,	Flat
-0.236,	0.265,	1.999,	Flat
0.013,	-0.092,	1.999,	Flat
0.363,	-0.122,	1.999,	Flat
0.615,	-0.069,	1.999,	Flat
0.699,	-0.574,	1.459,	Flat
0.794,	-0.446,	1.130,	Flat
0.608,	-0.388,	0.939,	Flat
0.422,	-0.355,	0.869,	Flat
0.319,	-0.244,	1.247,	Flat
0.196,	-0.053,	1.573,	Flat
0.192,	0.094,	1.698,	Flat
-0.112,	0.033,	1.578,	Flat
-0.152,	0.106,	1.100,	Flat
-0.184,	0.146,	0.869,	Flat
-0.091,	0.231,	0.710,	Flat
-0.108,	0.117,	0.611,	Flat
-0.112,	0.065,	0.479,	Flat
0.067,	0.131,	0.607,	Flat
0.075,	0.047,	0.815,	Flat
0.023,	-0.081,	0.907,	Flat
0.070,	-0.101,	0.827,	Flat
0.145,	-0.065,	0.858,	Flat
0.096,	-0.172,	0.893,	Flat
0.031,	-0.238,	0.986,	Flat
0.102,	-0.124,	1.057,	Flat
